number,value,datetime_start,datetime_complete,duration,params_dropout_0,params_dropout_1,params_dropout_2,params_hidden_0,params_hidden_1,params_learning_rate,params_weight_decay,state
56,0.4620607921872564,2025-04-01 11:35:55.433428,2025-04-01 11:36:06.595628,0 days 00:00:11.162200,0.31275128022799736,0.20476174800467473,0.4455191960790627,429,352,0.005429979943551804,6.574654089591007e-05,PRUNED
57,0.2785321939853561,2025-04-01 11:36:06.596404,2025-04-01 11:36:17.857066,0 days 00:00:11.260662,0.24089455116289055,0.1833623735932312,0.32643579329901534,429,288,0.008067970188845438,0.00014930381536013858,PRUNED
58,-0.00443247775992206,2025-04-01 11:36:17.857601,2025-04-01 11:36:29.081481,0 days 00:00:11.223880,0.16732015627972624,0.19415328714258698,0.3648224915262336,365,256,0.0061381960978978065,0.00010699699110698253,PRUNED
59,0.6937725214068866,2025-04-01 11:36:29.082168,2025-04-01 11:36:41.862631,0 days 00:00:12.780463,0.19943683024580006,0.18485665336893764,0.3562018168444042,493,320,0.003992131280162304,0.00012425723130620635,COMPLETE
60,0.21401652612836353,2025-04-01 11:36:41.863269,2025-04-01 11:36:53.710531,0 days 00:00:11.847262,0.19262105530092344,0.11683228781223265,0.3272470967148018,429,288,0.009011350688368273,0.00013725002556011796,PRUNED
61,0.47774886837273545,2025-04-01 11:36:53.711861,2025-04-01 11:37:05.725769,0 days 00:00:12.013908,0.29374134993099354,0.21295852024256723,0.3549567260217636,365,352,0.0029152796684382147,5.392320805293169e-05,PRUNED
62,0.5870760814032145,2025-04-01 11:37:05.726615,2025-04-01 11:37:20.967877,0 days 00:00:15.241262,0.20219201872581494,0.18867146653248648,0.30757843333705837,461,384,0.003821474482510737,4.600134318969254e-05,PRUNED
63,0.44273033526735517,2025-04-01 11:37:20.968691,2025-04-01 11:37:32.630896,0 days 00:00:11.662205,0.2958834790976008,0.18996249111327393,0.3678845047871344,397,384,0.0026166102209367503,6.483670344955003e-05,PRUNED
64,0.3667908284098388,2025-04-01 11:37:32.631445,2025-04-01 11:37:44.086561,0 days 00:00:11.455116,0.3287232696621224,0.1668245384398639,0.49444588311490534,333,256,0.0051427058219055645,6.651727843587798e-05,PRUNED
65,0.47811912678187085,2025-04-01 11:37:44.087348,2025-04-01 11:37:55.336576,0 days 00:00:11.249228,0.28845826328534485,0.2033061129421171,0.32074213167444493,397,384,0.002407906815761321,4.587723503328392e-05,PRUNED
66,0.49576601149280985,2025-04-01 11:37:55.337115,2025-04-01 11:38:07.061561,0 days 00:00:11.724446,0.24379965185928199,0.15957431901612917,0.3770931568092158,397,352,0.00264920764084498,4.837968823713336e-05,PRUNED
